COSC 220-001,Applied Computer Programming,08:00AM - 09:15AM,T
COSC 300-002,Assembly Language Programming,08:00AM - 09:15AM,R
COSC 110-003,Problem Solving & Structured Programming,09:30AM - 10:45am,T
COSC 105-002,Fundamentals of Computer Science,09:30AM - 10:45AM,R
COSC 110-004,Problem Solving & Structured Programming,11:00AM - 12:15PM,T
COSC 319-W01,Software Engineering Concepts,11:00AM - 12:15PM,R
COSC 110-005,Problem Solving & Structured Programming,12:30PM - 01:45PM,T
COSC 427-001,Intro to Cryptography,12:30PM - 01:45PM,R
COSC 110-006,Problem Solving & Structured Programming,02:00PM - 03:15PM,T
COSC 300-001,Assembly Language Programming,02:00PM - 03:15PM,R
COSC 405-001,Artificial Intelligence,08:00AM - 08:50AM,MW
COSC 356-001,Network Security,09:05AM - 09:55AM,MW
COSC 432-001,Intro to Operating Systems,10:10AM - 11:00AM,MW
COSC 310-001,Data Structures and Algorithms,10:10AM - 11:00AM,F
COSC 480-002,Seminar: Technical Topics,11:15AM - 12:05PM,M
COSC 341-001,Intro to Database Mgmt Systems,11:15AM - 12:05PM,F
COSC 110-007,Problem Solving & Structured Programming,12:20PM - 01:10PM,MW
COSC 454-001,Information Assurance Administration,12:20PM - 01:10PM,F
COSC 480-001,Seminar: Technical Topics,01:25PM - 02:15PM,M
COSC 250-002,Intro to Numerical Methods,01:25PM - 02:15PM,WF
COSC 380-001,Seminar on Comp Profession & Ethics,02:30PM - 03:20PM,MW
COSC 310-002,Data Structures and Algorithms,02:30PM - 03:20PM,F